StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,timerPassage_First Click,timerPassage_Last Click,timerPassage_Page Submit,timerPassage_Click Count,S1Q1,S1Q2,S1Q3,S1Q4,S1Q5,S1Q6,S1Q7,S1Q8,S1Q9,S1Q10,S1Understand_1,S1Minutes,S1Interest_1,S1Knowledge_1,S1Progress,S2Understand_1,S2Interest_1,S2Knowledge_1,S2Progress,S2Q1a,S2Q2a,S2Q3a,S2Q4a,S2Q5a,S2Q6a,S2Q7a,S2Q8a,S2Q9a,S2Q10a,S2Q1b,S2Q2b,S2Q3b,S2Q4b,S2Q5b,S2Q6b,S2Q7b,S2Q8b,S2Q9b,S2Q10b,SC0,SC1,SC2,Group
3/13/2019 7:42,3/13/2019 7:48,0,173.3.60.107,100,409,1,3/13/2019 7:48,R_1jqu6Xe8kH1SZXX,,,,,41.26559448,-74.36039734,anonymous,EN,95.335,101.282,102.706,2,2,2,4,2,1,3,2,2,4,1,90,3,85,0,2,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,Down2
3/13/2019 7:42,3/13/2019 7:49,0,216.145.178.167,100,382,1,3/13/2019 7:49,R_2QAjfowsIsZUHt5,,,,,29.77200317,-95.36440277,anonymous,EN,0,0,175.549,0,2,2,3,2,2,4,2,2,1,1,70,4,75,40,1,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,Up2
3/13/2019 7:45,3/13/2019 7:50,0,100.6.48.118,100,310,1,3/13/2019 7:50,R_2BwFeCRHG4j2zCx,,,,,40.37620544,-79.81240082,anonymous,EN,4.174,4.174,155.336,1,2,3,4,4,4,4,3,2,4,2,64,5,81,23,2,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,Control
3/13/2019 7:44,3/13/2019 7:51,0,75.185.113.50,100,417,1,3/13/2019 7:51,R_1NCAF6eL35xB8WU,,,,,38.16079712,-85.78070068,anonymous,EN,0,0,190.259,0,,,,,,,,,,,,,,,,60,100,20,2,2,,4,2,,,1,,,3,,1,,,2,2,,2,4,,0,2,2,PostFeed
3/13/2019 7:43,3/13/2019 7:51,0,70.177.82.246,100,465,1,3/13/2019 7:51,R_3qgIairYUbdSIDa,,,,,36.04960632,-95.88580322,anonymous,EN,0,0,217.947,0,,,,,,,,,,,,,,,,100,100,0,2,,1,,2,,,,2,4,2,2,,4,,2,2,2,,,,0,3,2,PreTest
3/13/2019 7:43,3/13/2019 7:51,0,73.162.168.82,100,479,1,3/13/2019 7:51,R_VJYqru7bVXPKlot,,,,,36.71260071,-121.6436996,anonymous,EN,3.313,231.999,234.486,13,,,,,,,,,,,,,,,,35,40,30,2,2,,,2,,,1,2,4,,,2,1,,1,3,,,,1,0,4,5,PostTest
3/13/2019 7:47,3/13/2019 7:53,0,73.227.132.111,100,307,1,3/13/2019 7:53,R_3fWdq2mfYE2Wx0k,,,,,42.855896,-70.93669891,anonymous,EN,0,0,126.248,0,,,,,,,,,,,,,,,,92,71,19,2,,2,,2,,,2,,3,2,2,,3,,2,4,,2,,,0,3,2,PreTest
3/13/2019 7:46,3/13/2019 7:53,0,108.67.107.106,100,449,1,3/13/2019 7:53,R_u2NLWuY2uMIakO5,,,,,39.83169556,-89.64649963,anonymous,EN,0,0,126.654,0,,,,,,,,,,,,,,,,65,60,25,1,2,2,,2,,2,,2,,,,,1,,2,,2,,4,2,0,4,3,PostTest
3/13/2019 7:46,3/13/2019 7:54,0,66.68.228.62,100,434,1,3/13/2019 7:54,R_2ErZbILpCWRRiyW,,,,,26.44810486,-98.28420258,anonymous,EN,146.222,161.113,171.03,3,,,,,,,,,,,,,,,,50,70,20,1,,,4,,,4,2,2,4,,2,2,,2,2,,,,,2,0,3,3,PostFeed
3/13/2019 7:49,3/13/2019 7:56,0,208.111.119.120,100,370,1,3/13/2019 7:56,R_djp4zrQy5X0XvEJ,,,,,31.80999756,-86.62290192,anonymous,EN,137.448,140.484,143.844,4,2,2,1,2,2,3,2,2,4,3,72,4,61,2,2,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,FT
